account_id,account_age_days,followers_count,following_count,post_count,profile_completeness,verified,posts_per_day,average_post_interval,posting_interval_std,reply_ratio,repost_ratio,original_post_ratio,activity_burst_score,average_likes,average_replies,average_reposts,average_quotes,engagement_rate,engagement_variance,duplicate_content_ratio,average_text_length,hashtag_frequency,mention_frequency,url_frequency,repeated_hashtag_ratio,label,followers_following_ratio
362,2164,1560,469,34768,0.7809248834550968,0,0.5810295002020452,14.860250244883698,8.749085189487106,0.11121294458102757,0.12928256911263702,0.48104142134402483,1.972347308209766,269.9971451905201,37.08718555633457,82.08490092631287,8.019406533767036,0.03230311986162162,0.631380327438242,0.01270736400639072,56.54318986080664,0.1142542638503868,1.491112860613522,0.08775408228300918,0.07539376844414242,0,3.326226012793177
74,1950,1793,887,36868,0.8965725941917065,0,4.073887990746879,40.246776905736965,10.756116444999062,0.46636673739308254,0.1086218811829377,0.7932326126555539,2.6193500725317787,113.71928965431167,45.72723921998522,52.87073198840526,4.909089250778608,0.01733265079416477,1.2325214690911306,0.020501189337087153,96.77531574890531,0.9463573305509898,0.28450102563355506,0.43957725669805714,0.03929507649913531,0,2.0214205186020293
375,1580,5665,1907,13909,0.9895356089308136,0,2.6094558445902765,46.41945032556476,10.2262630342819,0.40976310001815164,0.07964091965635739,0.6111552024300745,2.365080957534314,266.156046769722,29.25070450760586,36.121605897581176,12.564131941860879,0.025451037553889524,1.037349017299523,0.01838542540637716,177.0767914409436,0.5961856515965328,0.9858356769359973,0.22188110857037097,0.07771859094396097,0,2.9706345044572626
156,1403,9917,1653,3800,0.9049886129819515,0,2.52382929102743,20.04212404069176,18.660824556957657,0.5293821396747361,0.33899883304623346,0.35275230843872607,2.8979613340940027,43.53897720634095,40.29016825418749,86.96958848516338,10.367309266706412,0.039616640151465515,1.5050018423798155,0.012638292997558205,70.06457420774665,0.780884725145776,0.20483555906347695,0.2366814229522456,0.05011197008253482,0,5.999395039322444
105,1545,1779,1940,10484,0.9258149918672923,0,4.69900999104601,9.304570321762371,8.391099124771248,0.42466116228844086,0.26839946993514385,0.7078866667628538,2.210179037081077,433.68765914764947,15.747349661949462,71.03515007123322,12.450939809245634,0.09715772174503672,0.9542083705484983,0.0411380121516166,111.93582496123797,0.5768281513630487,0.6124317813846101,0.4345778584183259,0.012613578629576516,0,0.9170103092783505
395,1504,7096,1230,44981,0.7531449368342158,0,2.8465056006961524,19.842220499643048,17.500197416603797,0.4247544648537237,0.27974336122522997,0.7543109408418107,2.483955459027972,303.22223937634686,10.755577576860357,23.647491223869455,12.134324039400077,0.046953882751444,0.8278117321999067,0.03539739133505945,138.32656291541048,0.7024708578282791,0.7838926635518764,0.06350910157280135,0.004457004071263082,0,5.769105691056911
378,3608,3519,1708,3483,0.8917359813446502,0,1.8375701346887774,25.72781778010486,16.772541270678552,0.5322166234341821,0.3443180486410175,0.4263271137892899,2.291450086702107,364.412001484506,34.38282341608926,36.15401877629566,15.613641493757246,0.06002837327790635,0.8286141328925807,0.03318671803469692,129.71111702010882,0.6303984804529552,0.568499494043303,0.49864572626564796,0.043239636018509,0,2.060304449648712
125,3430,9307,1080,48802,0.8619956139147567,0,4.733056603019032,16.116771667238417,11.521952048608323,0.19282335245062152,0.18001354191853192,0.7329703039852956,1.9665885699326504,414.62422850713943,41.01610691687955,12.83499266146948,19.045201567246476,0.013547582660832669,0.6457896202664285,0.02380283510755309,66.97584774944589,0.2383743808926263,0.7045730053029242,0.10686656387615232,0.019987297464944365,0,8.617592592592592
69,1140,7179,653,43582,0.7388544763848413,1,2.356798283818807,22.084927311684012,2.5190892222016408,0.20720324149658229,0.12377758554251003,0.6638010301321854,2.032566598395348,460.74224338541666,14.813999424265331,64.39079570677647,11.716167884304888,0.012636949879307652,0.6532732644935859,0.02859487612294769,49.021096616517056,0.46986454723231297,0.8434776331261993,0.273072654535224,0.08621529582931219,0,10.993874425727412
451,100,433,4132,4989,0.5626323208284821,0,43.96138053133892,1.9702156146367442,0.33234235089263053,0.7490888984107325,0.7407630149433252,0.17602627068672835,10.050578002704087,0.5893005433988507,0.9410101579846544,0.09573119781221417,0.9495374371136518,0.0015752798465932722,0.07549787331491632,0.4513170968567509,29.115701522492287,4.076747159983713,1.7130962809186865,1.1211029291606638,0.8291780275795484,1,0.1047918683446273
